id ; iName ; eng ; jpn ; tchi ; schi ; kor ; fre ; ger ; spa ; ita ; dut ; rus ; 
0050 ; FtrKatakatatoy ; clackercart ; ておしぐるま ; 學步推車 ; 学步推车 ; 장난감차 ; chariot de marche ; Spielwagen ; carrito carraca ; macchinina primi passi ; loopwagen ; тележка-каталка
1654 ; FtrDoorOrnamentPaw ; paw-print doorplate ; にくきゅうのドアプレート ; 肉球門牌 ; 肉球门牌 ; 발바닥 문패 ; plaque patte de chien ; Pfotenabdrucktürschild ; placa huella animal ; targa da porta zampina ; pootafdrukdeurplaatje ; декоративный отпечаток
1655 ; FtrDoorOrnamentCrest ; crest doorplate ; エンブレムなドアプレート ; 徽章門牌 ; 纹章门牌 ; 엠블럼 문패 ; plaque blason ; Wappentürschild ; placa escudo de armas ; targa da porta stemma ; schildwapendeurplaatje ; герб
1656 ; FtrDoorOrnamentLog ; timber doorplate ; ログなドアプレート ; 原木門牌 ; 原木门牌 ; 통나무 문패 ; plaque bûche ; Holztürschild ; placa de leña ; targa da porta ciocco ; deurplaatje ; табличка-срез
1657 ; FtrDoorOrnamentFossil ; fossil doorplate ; かせきのドアプレート ; 化石門牌 ; 化石门牌 ; 화석 문패 ; plaque fossile ; Fossilientürschild ; placa fósil ; targa da porta fossile ; fossieldeurplaatje ; декоративный аммонит
388B ; FtrDoorOrnamentWreathWedding ; nuptial doorplate ; ウェディングのドアプレート ; 結婚門牌 ; 结婚门牌 ; 결혼식 문패 ; plaque nuptiale ; Vermählungs-Türschild ; corona nupcial ; targa da porta sposini ; liefdesdeurplaatje ; брачный венок на дверь
2238 ; SmartphoneCase ; customizable phone case kit ; スマホケースリメイクキット ; 手機殼改造工具組 ; 手机壳改造工具组 ; 스마트폰 케이스 리폼 키트 ; kit coque personnalisable ; NookPhone-Gestaltungskit ; funda móvil personalizable ; kit personaliz. Nook Phone ; NookPhone-hoesje ; набор: переделка чехла
191A ; BromideNpcNmlAnt00 ; Cyrano's photo ; さくらじまのしゃしん ; 陽明的照片 ; 阳明的照片 ; 사지마의 사진 ; photo de Cyrano ; Foto von Theo ; foto de Cirano ; foto di Cirano ; foto van Cyrano ; фото Сирано
191B ; BromideNpcNmlBea02 ; Curt's photo ; ガンテツのしゃしん ; 鐵熊的照片 ; 铁熊的照片 ; 뚝심의 사진 ; photo de Curt ; Foto von Kurt ; foto de Gorbaché ; foto di Curt ; foto van Curt ; фото Керта
191C ; BromideNpcNmlDer02 ; Zell's photo ; ネルソンのしゃしん ; 森森的照片 ; 森森的照片 ; 넬슨의 사진 ; photo de Régis ; Foto von Walter ; foto de Corvilo ; foto di Antilio ; foto van Zell ; фото Зелла
191D ; BromideNpcNmlDer03 ; Bruce's photo ; ブルースのしゃしん ; 布鹿斯的照片 ; 布鹿斯的照片 ; 브루스의 사진 ; photo de Boubou ; Foto von Oswald ; foto de Aristo ; foto di Arturo ; foto van Bruce ; фото Брюса
191E ; BromideNpcNmlDer04 ; Deirdre's photo ; ナディアのしゃしん ; 娣雅的照片 ; 娣雅的照片 ; 나디아의 사진 ; photo de Bichoune ; Foto von Dina ; foto de Venada ; foto di Daria ; foto van Deirdre ; фото Дейрдре
191F ; BromideNpcNmlDer05 ; Lopez's photo ; トムソンのしゃしん ; 湯姆的照片 ; 汤姆的照片 ; 톰슨의 사진 ; photo de Jon ; Foto von Eckart ; foto de Agreste ; foto di Lopez ; foto van Lopez ; фото Лопеса
1920 ; BromideNpcNmlDer06 ; Fuchsia's photo ; ジェシカのしゃしん ; 潔西卡的照片 ; 洁西卡的照片 ; 제시카의 사진 ; photo de Rosanne ; Foto von Selina ; foto de Rosalina ; foto di Fuxia ; foto van Fuchsia ; фото Фуксии
1921 ; BromideNpcNmlDer07 ; Beau's photo ; ペーターのしゃしん ; 彼得的照片 ; 彼得的照片 ; 피터의 사진 ; photo de Stefaon ; Foto von Martin ; foto de Lope ; foto di Gigi ; foto van Beau ; фото Бью
1922 ; BromideNpcNmlDer08 ; Diana's photo ; ナタリーのしゃしん ; 倪家莉的照片 ; 倪家莉的照片 ; 나탈리의 사진 ; photo de Didi ; Foto von Vroni ; foto de Bambina ; foto di Diana ; foto van Diana ; фото Дианы
1923 ; BromideNpcNmlDer09 ; Erik's photo ; チャックのしゃしん ; 查克的照片 ; 查克的照片 ; 자끄의 사진 ; photo d'Abraham ; Foto von Erik ; foto de Cervasio ; foto di Cervasio ; foto van Erik ; фото Эрика
1924 ; BromideNpcNmlDog00 ; Goldie's photo ; キャラメルのしゃしん ; 牛奶糖的照片 ; 牛奶糖的照片 ; 카라멜의 사진 ; photo de Mirza ; Foto von Bienchen ; foto de Tere ; foto di Dora ; foto van Goldie ; фото Голди
1925 ; BromideNpcNmlDog01 ; Butch's photo ; ジョンのしゃしん ; 約翰的照片 ; 约翰的照片 ; 존의 사진 ; photo d'Avril ; Foto von Hasso ; foto de Bruno ; foto di Attila ; foto van Butch ; фото Бутча
1926 ; BromideNpcNmlBea03 ; Chow's photo ; チャウヤンのしゃしん ; 朝陽的照片 ; 朝阳的照片 ; 츄양의 사진 ; photo de Chulin ; Foto von Chang ; foto de Pando ; foto di Chowchow ; foto van Chow ; фото Чау
1927 ; BromideNpcNmlDog02 ; Lucky's photo ; ラッキーのしゃしん ; 大吉的照片 ; 大吉的照片 ; 럭키의 사진 ; photo de Ramsès ; Foto von Viktor ; foto de Pupas ; foto di Felice ; foto van Lucky ; фото Лаки
1928 ; BromideNpcNmlDog03 ; Biskit's photo ; ロビンのしゃしん ; 羅賓的照片 ; 罗宾的照片 ; 로빈의 사진 ; photo de Crocket ; Foto von Keks ; foto de Amnesio ; foto di Buffetto ; foto van Biskit ; фото Бискита
1929 ; BromideNpcNmlDog04 ; Bones's photo ; トミのしゃしん ; 阿富的照片 ; 阿富的照片 ; 토미의 사진 ; photo de Nonos ; Foto von Strolch ; foto de Cándido ; foto di Tobia ; foto van Bones ; фото Боунса
192A ; BromideNpcNmlDog05 ; Portia's photo ; ブレンダのしゃしん ; 傅蘭的照片 ; 傅兰的照片 ; 블랜더의 사진 ; photo de Dalma ; Foto von Isolde ; foto de Amanda ; foto di Porzia ; foto van Portia ; фото Порции
192B ; BromideNpcNmlDog06 ; Walker's photo ; ベンのしゃしん ; 阿笨的照片 ; 阿笨的照片 ; 벤의 사진 ; photo de George ; Foto von Fido ; foto de Miki ; foto di Walter ; foto van Walker ; фото Уокера
192C ; BromideNpcNmlDog07 ; Daisy's photo ; バニラのしゃしん ; 香草的照片 ; 香草的照片 ; 바닐라의 사진 ; photo de Naomie ; Foto von Doris ; foto de Luisa ; foto di Fiorella ; foto van Daisy ; фото Дейзи
192D ; BromideNpcNmlDog08 ; Cookie's photo ; ペリーヌのしゃしん ; 珮琳的照片 ; 珮琳的照片 ; 베리의 사진 ; photo de Cookie ; Foto von Rosi ; foto de Purita ; foto di Briciola ; foto van Cookie ; фото Куки
192E ; BromideNpcNmlDog09 ; Maddie's photo ; マロンのしゃしん ; 麻蓉的照片 ; 麻蓉的照片 ; 마롱의 사진 ; photo d'Olympe ; Foto von Agnes ; foto de Martina ; foto di Cristina ; foto van Maddie ; фото Мэдди
192F ; BromideNpcNmlDog10 ; Bea's photo ; ベーグルのしゃしん ; 貝果的照片 ; 贝果的照片 ; 베이글의 사진 ; photo de Béa ; Foto von Bea ; foto de Bea ; foto di Cucciola ; foto van Bea ; фото Беы
1930 ; BromideNpcNmlDog14 ; Mac's photo ; チャンプのしゃしん ; 金牌的照片 ; 金牌的照片 ; 챔프의 사진 ; photo de Brutus ; Foto von Wuffi ; foto de Pit ; foto di Teo ; foto van Mac ; фото Мака
1931 ; BromideNpcNmlBea05 ; Nate's photo ; バッカスのしゃしん ; 巴克思的照片 ; 巴克思的照片 ; 박하스의 사진 ; photo de Nathan ; Foto von Nathan ; foto de Nachete ; foto di Gianni ; foto van Nate ; фото Нэйта
1932 ; BromideNpcNmlDog15 ; Marcel's photo ; もんじゃのしゃしん ; 文字燒的照片 ; 文字烧的照片 ; 에드워드의 사진 ; photo d'Ismaël ; Foto von Ronaldo ; foto de Eto ; foto di Giosuè ; foto van Marcel ; фото Марселя
1933 ; BromideNpcNmlDog16 ; Benjamin's photo ; ハチのしゃしん ; 小八的照片 ; 小八的照片 ; 땡칠이의 사진 ; photo de Bernardo ; Foto von Wastl ; foto de Bernardo ; foto di Bernardo ; foto van Benjamin ; фото Бернардо
1934 ; BromideNpcNmlDog17 ; Cherry's photo ; ハンナのしゃしん ; 花娜的照片 ; 花娜的照片 ; 한나의 사진 ; photo d'Anna ; Foto von Bella ; foto de Luna ; foto di Amarena ; foto van Cherry ; фото Черри
1935 ; BromideNpcNmlDog18 ; Shep's photo ; ボブのしゃしん ; 包伯的照片 ; 包伯的照片 ; 밥의 사진 ; photo de Mehdi ; Foto von Thomas ; foto de Fleco ; foto di Frangino ; foto van Shep ; фото Шепа
1936 ; BromideNpcNmlDuk00 ; Bill's photo ; ピータンのしゃしん ; 皮蛋的照片 ; 皮蛋的照片 ; 코코아의 사진 ; photo de Choco ; Foto von Bill ; foto de Paquito ; foto di Gino ; foto van Bill ; фото Билла
1937 ; BromideNpcNmlDuk01 ; Joey's photo ; リチャードのしゃしん ; 李察的照片 ; 李察的照片 ; 리처드의 사진 ; photo de Joseph ; Foto von Kalle ; foto de Pascual ; foto di Pino ; foto van Joey ; фото Джоуи
1938 ; BromideNpcNmlDuk02 ; Pate's photo ; ナッキーのしゃしん ; 愛哭鬼的照片 ; 爱哭鬼的照片 ; 나키의 사진 ; photo de Terrine ; Foto von Daune ; foto de Pati ; foto di Camilla ; foto van Pate ; фото Пэйт
1939 ; BromideNpcNmlDuk03 ; Maelle's photo ; アンヌのしゃしん ; 安妮的照片 ; 安妮的照片 ; 앤의 사진 ; photo de Maëlle ; Foto von Sissi ; foto de Patidifú ; foto di Palmita ; foto van Maelle ; фото Маэль
193A ; BromideNpcNmlDuk04 ; Deena's photo ; まりものしゃしん ; 毬藻的照片 ; 球藻的照片 ; 마리모의 사진 ; photo de Mina ; Foto von Olivia ; foto de Martita ; foto di Dina ; foto van Deena ; фото Дины
193B ; BromideNpcNmlDuk05 ; Pompom's photo ; のりっぺのしゃしん ; 海苔裴的照片 ; 海苔裴的照片 ; 주디의 사진 ; photo de Pompon ; Foto von Erika ; foto de Flopi ; foto di Erica ; foto van Pompom ; фото Помпом
193C ; BromideNpcNmlBea06 ; Groucho's photo ; クローのしゃしん ; 爪爪的照片 ; 爪爪的照片 ; 거무틱의 사진 ; photo de Ronchon ; Foto von Ernst ; foto de Groucho ; foto di Groucho ; foto van Groucho ; фото Граучо
193D ; BromideNpcNmlDuk06 ; Mallary's photo ; スミモモのしゃしん ; 蘇米的照片 ; 苏米的照片 ; 스미모의 사진 ; photo de Mallory ; Foto von Marina ; foto de Mirta ; foto di Sofia ; foto van Mallary ; фото Мэллари
193E ; BromideNpcNmlDuk07 ; Freckles's photo ; マグロのしゃしん ; 小鮪的照片 ; 小鲔的照片 ; 다랑어의 사진 ; photo de Caro ; Foto von Quacks ; foto de Rebeca ; foto di Semola ; foto van Freckles ; фото Фреклса
193F ; BromideNpcNmlDuk08 ; Derwin's photo ; ボンのしゃしん ; 阿坊的照片 ; 阿坊的照片 ; 봉의 사진 ; photo de Prof ; Foto von Erwin ; foto de Torcuato ; foto di Mike ; foto van Derwin ; фото Дервина
1940 ; BromideNpcNmlDuk09 ; Drake's photo ; フォアグラのしゃしん ; 肥肝的照片 ; 肥肝的照片 ; 푸아그라의 사진 ; photo de Colvert ; Foto von Gustav ; foto de Draco ; foto di Drago ; foto van Drake ; фото Дрейка
1941 ; BromideNpcNmlDuk10 ; Scoot's photo ; マモルのしゃしん ; 阿守的照片 ; 阿守的照片 ; 지키미의 사진 ; photo de Scooter ; Foto von Helmut ; foto de Chema ; foto di Guizzo ; foto van Scoot ; фото Скута
1942 ; BromideNpcNmlDuk11 ; Weber's photo ; アチョットのしゃしん ; 卿德的照片 ; 卿德的照片 ; 아잠만의 사진 ; photo de Bébert ; Foto von Volker ; foto de Paticio ; foto di Pasquale ; foto van Weber ; фото Вебера
1943 ; BromideNpcNmlDuk12 ; Miranda's photo ; ミランダのしゃしん ; 米蘭達的照片 ; 米兰达的照片 ; 미란다의 사진 ; photo de Maëllis ; Foto von Tanya ; foto de Miranda ; foto di Miranda ; foto van Miranda ; фото Миранды
1944 ; BromideNpcNmlDuk13 ; Ketchup's photo ; ケチャップのしゃしん ; 番茄醬的照片 ; 番茄酱的照片 ; 케첩의 사진 ; photo de Ketchup ; Foto von Pullunda ; foto de Kétchup ; foto di Ketchup ; foto van Ketchup ; фото Кетчуп
1945 ; BromideNpcNmlDuk15 ; Gloria's photo ; スワンソンのしゃしん ; 素返真的照片 ; 素返真的照片 ; 마릴린의 사진 ; photo de Déborah ; Foto von Gustavia ; foto de Jarrea ; foto di Pappy ; foto van Gloria ; фото Глории
1946 ; BromideNpcNmlDuk16 ; Molly's photo ; カモミのしゃしん ; 亞美的照片 ; 亚美的照片 ; 귀오미의 사진 ; photo de Molly ; Foto von Monika ; foto de Deira ; foto di Molly ; foto van Molly ; фото Молли
1947 ; BromideNpcNmlBea07 ; Tutu's photo ; れんにゅうのしゃしん ; 戀戀的照片 ; 恋恋的照片 ; 연유의 사진 ; photo de Tutu ; Foto von Mandy ; foto de Tutú ; foto di Lola ; foto van Tutu ; фото Туту
1948 ; BromideNpcNmlDuk17 ; Quillson's photo ; タックンのしゃしん ; 何童的照片 ; 何童的照片 ; 덕근의 사진 ; photo de Narcisse ; Foto von Quentin ; foto de Cuálter ; foto di Verdonio ; foto van Quillson ; фото Квилсона
1949 ; BromideNpcNmlElp00 ; Opal's photo ; オパールのしゃしん ; 露露的照片 ; 露露的照片 ; 오팔의 사진 ; photo d'Opaline ; Foto von Olga ; foto de Ópalo ; foto di Opal ; foto van Opal ; фото Опал
194A ; BromideNpcNmlElp01 ; Dizzy's photo ; ヒュージのしゃしん ; 巨巨的照片 ; 巨巨的照片 ; 휴지의 사진 ; photo de Pachy ; Foto von Bastian ; foto de Quique ; foto di Annibale ; foto van Dizzy ; фото Диззи
194B ; BromideNpcNmlElp02 ; Big Top's photo ; ３ごうのしゃしん ; 阿三的照片 ; 阿三的照片 ; 3호의 사진 ; photo de Miles ; Foto von Benni ; foto de Déivid ; foto di Grande C ; foto van Big Top ; фото Биг-Топа
194C ; BromideNpcNmlElp03 ; Eloise's photo ; エレフィンのしゃしん ; 艾勒芬的照片 ; 艾勒芬的照片 ; 엘레핀의 사진 ; photo d'Éloïse ; Foto von Frauke ; foto de Eloísa ; foto di Eloisa ; foto van Eloise ; фото Элоизы
194D ; BromideNpcNmlElp04 ; Margie's photo ; サリーのしゃしん ; 莎莉的照片 ; 莎莉的照片 ; 샐리의 사진 ; photo de Maguy ; Foto von Elisa ; foto de Rita ; foto di Marianna ; foto van Margie ; фото Марджи
194E ; BromideNpcNmlElp05 ; Paolo's photo ; パオロのしゃしん ; 保羅的照片 ; 保罗的照片 ; 파올로의 사진 ; photo de Paolo ; Foto von Paolo ; foto de Paolo ; foto di Paolino ; foto van Paolo ; фото Паоло
194F ; BromideNpcNmlElp06 ; Axel's photo ; エックスエルのしゃしん ; 大大的照片 ; 大大的照片 ; 엑스엘리의 사진 ; photo d'Axel ; Foto von Axel ; foto de Eustakio ; foto di Sandro ; foto van Axel ; фото Акселя
1950 ; BromideNpcNmlElp07 ; Ellie's photo ; エクレアのしゃしん ; 泡芙的照片 ; 泡芙的照片 ; 에끌레르의 사진 ; photo d'Ella ; Foto von Elfi ; foto de Eli ; foto di Elly ; foto van Ellie ; фото Эллы
1951 ; BromideNpcNmlElp09 ; Tucker's photo ; はじめのしゃしん ; 阿原的照片 ; 阿原的照片 ; 맘모의 사진 ; photo de Barry ; Foto von Thorsten ; foto de Pirolo ; foto di Sventolo ; foto van Tucker ; фото Такера
1952 ; BromideNpcNmlBea08 ; Ursala's photo ; ネーヤのしゃしん ; 妮雅的照片 ; 妮雅的照片 ; 네이아의 사진 ; photo d'Oursula ; Foto von Ursula ; foto de Úrsula ; foto di Ursula ; foto van Ursala ; фото Урсалы
1953 ; BromideNpcNmlElp10 ; Tia's photo ; ティーナのしゃしん ; 茉莉的照片 ; 茉莉的照片 ; 티나의 사진 ; photo de Fanny ; Foto von Eleonore ; foto de Meralda ; foto di Fanny ; foto van Tia ; фото Тиы
1954 ; BromideNpcNmlFlg00 ; Lily's photo ; レイニーのしゃしん ; 雷妮的照片 ; 雷妮的照片 ; 레이니의 사진 ; photo de Raina ; Foto von Liliane ; foto de Lili ; foto di Gigliola ; foto van Lily ; фото Лили
1955 ; BromideNpcNmlFlg01 ; Ribbot's photo ; ガチャのしゃしん ; 鏘鏘的照片 ; 锵锵的照片 ; 철컥의 사진 ; photo de Crabot ; Foto von Robbi ; foto de Ranobot ; foto di Ranabot ; foto van Ribbot ; фото Риббота
1956 ; BromideNpcNmlFlg02 ; Frobert's photo ; コージィのしゃしん ; 江適的照片 ; 江适的照片 ; 구리구리의 사진 ; photo de Verbert ; Foto von Fritz ; foto de Croaldo ; foto di Froberto ; foto van Frobert ; фото Фроберта
1957 ; BromideNpcNmlFlg03 ; Camofrog's photo ; フルメタルのしゃしん ; 迷仔的照片 ; 迷仔的照片 ; 충성의 사진 ; photo de Milos ; Foto von Tarno ; foto de Comando ; foto di Crambo ; foto van Camofrog ; фото Камофрога
1958 ; BromideNpcNmlFlg04 ; Drift's photo ; ドクのしゃしん ; 毒仔的照片 ; 毒仔的照片 ; 덕의 사진 ; photo de Gordon ; Foto von Caspar ; foto de Surfín ; foto di Prospero ; foto van Drift ; фото Дрифта
1959 ; BromideNpcNmlFlg05 ; Wart Jr.'s photo ; サムのしゃしん ; 山姆的照片 ; 山姆的照片 ; 샘의 사진 ; photo de Crakos ; Foto von Warzi ; foto de Saponcio ; foto di Porro ; foto van Wart Jr. ; фото Варта-мл.
195A ; BromideNpcNmlFlg06 ; Puddles's photo ; チョキのしゃしん ; 剪刀的照片 ; 剪刀的照片 ; 가위의 사진 ; photo de Rénata ; Foto von Nele ; foto de Nenúfar ; foto di Grazia ; foto van Puddles ; фото Ренаты
195B ; BromideNpcNmlFlg07 ; Jeremiah's photo ; クワトロのしゃしん ; 阿刻的照片 ; 阿刻的照片 ; 드리미의 사진 ; photo de Jérémie ; Foto von Jörg ; foto de Jeremías ; foto di Geremia ; foto van Jeremiah ; фото Джеремии
